WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,layer,path,xcoord,ycoord
555703746.000000000000000,"555703746","1",Phou Hi Phi,Phou Hi Phi,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,873.500000000000000,877.319325689737980,Not Applicable,0.000000000000000,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",102.206262194656,20.7558414989896
555703747.000000000000000,"555703747","1",Phou Sabot Phoungchong,Phou Sabot Phoungchong,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,1490.299999999999955,1490.782987199879926,Not Applicable,0.000000000000000,Designated,2011,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",103.840832521134,19.8228224778336
555703748.000000000000000,"555703748","1",LavingLavern,LavingLavern,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,860.000000000000000,843.292027975175984,Not Applicable,0.000000000000000,Designated,2012,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",106.336204570595,16.9299288857879
555703749.000000000000000,"555703749","1",Eld' Deer Sanctuary,Eld' Deer Sanctuary,National Protected Area,National Protected Area,National,IV,Not Applicable,"0",0.000000000000000,0.000000000000000,1307.450000000000045,1308.392343034980058,Not Applicable,0.000000000000000,Designated,2020,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",105.722055521234,16.3075562755923
555703750.000000000000000,"555703750","1",Kounxe Nongma,Kounxe Nongma,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,538.629999999999995,548.343211579763988,Not Applicable,0.000000000000000,Designated,2021,Government-delegated management,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",106.268208201606,17.135707906774
555756393.000000000000000,"555756393","1",Nam Poui,Nam Poui,ASEAN Heritage Park,ASEAN Heritage Park,Regional,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,1912.000000000000000,1770.776643881129985,Not Applicable,0.000000000000000,Proposed,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",101.315191521685,18.6205644556181
555756394.000000000000000,"555756394","1",Phou Xieng Thong,Phou Xieng Thong,ASEAN Heritage Park,ASEAN Heritage Park,Regional,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,1200.000000000000000,1060.856735094130045,Not Applicable,0.000000000000000,Proposed,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,LA_SL,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",105.634098074512,15.5748679681535
555756395.000000000000000,"555756395","1",Yodnammo-Phousamsoum,Yodnammo-Phousamsoum,National Protected Area,National Protected Area,National,Not Reported,Not Applicable,"0",0.000000000000000,0.000000000000000,988.730000000000018,989.227286084777006,Not Applicable,0.000000000000000,Designated,2022,Government-delegated management,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Not Reported,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",103.969324921818,19.1406280675629
555756396.000000000000000,"555756396","1",Nam Ha,Nam Ha,ASEAN Heritage Park,ASEAN Heritage Park,Regional,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,2224.000000000000000,2203.903859992649814,Not Applicable,0.000000000000000,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={c5e2e3c1-70ba-48de-a4e8-13071128e082}",101.282921447119,20.9326600912167
61497.000000000000000,"61497","1",Nam Xam,Nam Xam,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,700.000000000000000,690.801895663812047,Not Applicable,0.000000000000000,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={f5b1e3b9-48d3-44f3-90fa-d36366cc8729}",104.58525255698,20.1307205388771
61501.000000000000000,"61501","1",Phou Hin Poun,Phou Hin Poun,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,1500.000000000000000,2369.708119655149858,Not Applicable,0.000000000000000,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Process,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={f5b1e3b9-48d3-44f3-90fa-d36366cc8729}",104.798535168637,17.7891836033108
71252.000000000000000,"71252","1",Nam Ha,Nam Ha,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,2224.000000000000000,2203.903859992649814,Not Applicable,0.000000000000000,Designated,1993,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={f5b1e3b9-48d3-44f3-90fa-d36366cc8729}",101.282921447119,20.9326600912167
71253.000000000000000,"71253","1",Nam Kan,Nam Kan,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,1360.000000000000000,1448.760909316310062,Not Applicable,0.000000000000000,Designated,2008,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,Not Reported,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={f5b1e3b9-48d3-44f3-90fa-d36366cc8729}",100.822458585003,20.543036859636
71261.000000000000000,"71261","1",Xe Xap,Xe Xap,National Protected Area,National Protected Area,National,VI,Not Applicable,"0",0.000000000000000,0.000000000000000,1335.000000000000000,1529.688714774780010,Not Applicable,0.000000000000000,Designated,1996,Federal or national ministry or agency,State,"Department of Forestry (DOF), Ministry of Agriculture and Forestry (MAF)",Implemented,State Verified,1982,LA_SL,LAO,LAO,Not Applicable,Not Applicable,Centroids,"Point?crs=EPSG:4326&field=WDPAID:double(23,15)&field=WDPA_PID:string(52,0)&field=PA_DEF:string(20,0)&field=NAME:string(254,0)&field=ORIG_NAME:string(254,0)&field=DESIG:string(254,0)&field=DESIG_ENG:string(254,0)&field=DESIG_TYPE:string(20,0)&field=IUCN_CAT:string(20,0)&field=INT_CRIT:string(100,0)&field=MARINE:string(20,0)&field=REP_M_AREA:double(23,15)&field=GIS_M_AREA:double(23,15)&field=REP_AREA:double(23,15)&field=GIS_AREA:double(23,15)&field=NO_TAKE:string(50,0)&field=NO_TK_AREA:double(23,15)&field=STATUS:string(100,0)&field=STATUS_YR:integer(9,0)&field=GOV_TYPE:string(254,0)&field=OWN_TYPE:string(254,0)&field=MANG_AUTH:string(254,0)&field=MANG_PLAN:string(254,0)&field=VERIF:string(20,0)&field=METADATAID:integer(9,0)&field=SUB_LOC:string(100,0)&field=PARENT_ISO:string(50,0)&field=ISO3:string(50,0)&field=SUPP_INFO:string(254,0)&field=CONS_OBJ:string(100,0)&uid={f5b1e3b9-48d3-44f3-90fa-d36366cc8729}",107.018163701001,16.1152866195513
